Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Babington,Alice Elizabeth May,Alice Elizabeth May Babington,Sugar & Flour Agent,Dealers and Agents,Moyes,Surgeon,Medical,Yes,9 May 1880,1880,Derry,Ulster,,Ireland,Ireland,Ireland,Ir/Ir,CoI,17932,1949,Derry,,Ireland,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,Dip. Psych. Med. Leeds 1912,,,,,,Donegal,Ireland,,,,,,,,,,,,,29,69,24,5,,,
Bailey,Frances Harriet Ada,Frances Harriet Ada Bailey,"Missionary, later Sec. to Mission to lepers",Minister,Taylor,Medical Missionary,Medical and Minister,Yes,,1876,Dalhousie,India,,India,India & Ceylon,Ireland,Ir/Ir,Anglican,,1942,Edinburgh,,Scotland,1893,EMCW,Edinburgh,Scotland,1898,Edinburgh,Triple,,,,,Punjab,,,,,,,,,,,"Born & lived, Punjab",,,,,22,66,17,5,,,
Baird,Mary Ann Harvey,Mary Ann Harvey Baird,Commercial Clerk,Official,,,,Yes,10 Feb 1890,1890,Dennistoun,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,27376,1974,London,,England,1908,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,Norwich,NS,RMO Jenny Lind Infirmary,S Africa,NS,"AMInsp Schools, Natal",,,,,,,24,84,18,6,South Africa,105,
Baker,Elizabeth Adelaide,Elizabeth Adelaide Baker,Missionary,Minister,,,,Yes,,1867,South Africa,South Africa,,South Africa,Empire,England,Eng/Eng,Anglican,,1928,London,,England,1887,ESMW & EMCW,Edinburgh,Scotland,1892,Edinburgh,Triple,,,,Orkney,Rotherhithe,,Rotherhithe,London,London,NS,NS,London,NS,NS,,,,,,,25,61,20,5,London,,
Balfour,Agnes,Agnes Balfour,Farmer,Farmer,,,,Yes,,1876,Canterbury,New Zealand,,New Zealand,Empire,Scotland,Scot/Scot,,,1904,Kent,,England,1896,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,Edinburgh,,,,,,,,,,,,,,,,,26,28,20,6,"1896 Otago, 1899 Edinburgh",,
Balfour,Margaret Ida,Margaret Ida Balfour,Chartered Accountant,"Legal, accounts,para-legal",,,,Yes,,1866,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1945,London,,England,1887,ESMW & EMCW,Edinburgh,Scotland,1891,Edinburgh,Triple,,,,Nahan,Patiala,,Punjab,India,,,,,,,Greenfield & Dufferin,"Worked, Punjab",,,,16803,25,79,21,4,,,
Barclay,Margaret Kate Aitchison,Margaret Kate Aitchison Barclay,Barrister,"Legal, accounts,para-legal",Robertson,Doctor,Medical,Yes,,1868,London,London,Q84,England,England,Scotland/England,Scot/Engl,Anglican,,1942,Bournemouth,,England,1886,ESMW & EMCW,Edinburgh,Scotland,1891,Edinburgh,Triple,,,,,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Oculist,Canongate Eye Dispensary,,,,,,,,,,23,74,18,5,,,
Barclay,Rachel Mary,Rachel Mary Barclay,Free Church Minister,Minister,,,,Yes,,1865,NZ,NZ,,New Zealand,Empire,Scotland,Scot/Scot,Presbyterian,,1944,Edinburgh,,Scotland,1908,NESMW,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,Edinburgh,Edinburgh,Edinburgh,NS,NS,Edinburgh,Psychiatry,NS,,,,,,,49,79,43,6,Edinburgh,63,
Bartholomew,Margaret Winifred,Margaret Winifred Bartholomew,Farmer,Farmer,Rushforth,Civil Servant,officer,Yes,,1885,West Lothian,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1983,Edinburgh,,Scotland,1903,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Nagpur,India,W Lothian,NS,NS,,,,UFCofS WFMS,"Worked, various, 1908-1928",,,,Winter 1983,23,98,18,5,,108.3,
Bateman,Lydia Dorothy La Trobe,Lydia Dorothy La Trobe Bateman,Civil Engineer,Engineer,Parsons,CoE Minister,Minister,Yes,19 Feb 1882,1882,Montreal,Canada,,Canada,Empire,England,Eng/Eng,Anglican,,1964,London,,England,1903,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,MD Edin 1911,,,,,,,,,,,,,,,,,,,,26,82,21,5,"Vicar's wife, followed him",,
Beath,Nina Henrietta,Nina Henrietta Beath,Army Surgeon,Medical,,,,Yes,,1872,Delhi,India,,India,India & Ceylon,Scotland,Scot/Scot,Presbyterian,,1925,London,,England,1896,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,Stirling,China,,Swatow,China,,,,,,,EMMS/Presbyterian,Born,EP Mission,,,,30,53,24,6,China,,
Benjamin,Eveline Rosetta,Eveline Rosetta Benjamin,Shoe manufacturer,Manufacturer,Cohen,Diamond merchant,Merchant,Yes,2 Nov 1879,1879,Sydney,NSW,Q3130,Australia,Empire,Australia,Oth/Oth,Jewish,,1922,Somerset,,England,1898,ESMW2,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,London,London,,,,,,,,,,Malta,Malta,,30,43,19,11,"1898 Melbourne, 1905 Edinburgh",,
Bennett,Agnes Elizabeth Lloyd,Agnes Elizabeth Lloyd Bennett,Engineer & Surveyor,Engineer,,,,Yes,24 Jun 1872,1872,Sydney,NSW,Q3130,Australia,Empire,Ireland/England,Ir/Engl,Anglican,,1960,NZ,,Australasia,1891,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,MD Ed 1911,,,,,,NZ,NZ,,,,,,,,,,America Unit 4-Aug-16 1-Sep-17,SWHFS,,27,88,19,8,"1891 Sydney, 1896 Edinburgh, Australian Dictionary",,
Bennett,Constance Agnes,Constance Agnes Bennett,Solicitor,"Legal, accounts,para-legal",Stoker,Doctor,Medical,Yes,,1880,Arbroath,Central Scotland,Q630668,Scotland,Scotland,Scotland,Scot/Scot,CoI,,1945,Hertfordshire,,England,1897,St Andrews & EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,Arbroath,Dublin,,,,,,,,,,,,,,,,22,65,17,5,,,
Bignold,Mary Florence,Mary Florence Bignold,Customs Officer,Government official,,,,Yes,,1883,Kent,SE England,,England,England,England,Eng/Eng,Presbyterian,,1966,Sussex,,England,1902,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,Edinburgh,Edinburgh,Edinburgh,NS,NS,,,,,,,"Valjevo 1-Apr-15 1-Sep-15, Malta",SWHFS & Malta,,24,83,19,5,Could have gone to school in Ayr,113.8,
Bird,Harriet Amelia Scott,Harriet Amelia Scott Bird,Minister CoE,Minister,MacKenna,Doctor,Medical,Yes,,1864,Durham,North of England,,England,England,Anglo-Indian,SA/SA,Anglican,,1934,Liverpool,,England,1893,ESMW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,NIP,NIP,,,,Liverpool,NS,NS,,,,No,Father born,,,,,34,70,29,5,,,
Birnie,Charlotte Murdoch,Charlotte Murdoch Birnie,Distiller & Farmer,Retail,Van Marle,Art historian,Teacher,Yes,,1889,Inverness,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,,,1957,Italy,,Europe,1906,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,Inverness,Scotland,Inverness,NS,NS,,,,,,,,,,22,68,17,5,,,
Blackwood,Catherine Mabel,Catherine Mabel Blackwood,Silk merchant,Merchant,Edgerley,Doctor,Medical,Yes,,1868,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland/England,Scot/Engl,Anglican,,1946,Yorkshire,,England,1887,ESMW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,Sheffield,,,,,,Leeds,NS,NS,,,,No,,,,,,26,78,19,7,,,
Bolotine,Vera Nicolaevna,Vera Nicolaevna Bolotine,Merchant,Merchant,,,,Yes,,1889,Samara,Russia,,Russia,Other,Russian,Oth/Oth,,,A1913,NK,,NK,1908,St Andrews & EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,,19,5,,,
Bond,Emma,Emma Bond,Draper,Retail,Taylor,Doctor,Medical,Yes,,1863,Accrington,NW England,Q1622949,England,England,England,Eng/Eng,Anglican,,A1954,,,,1894,ESMW & EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,,Sierra Leone,,,,,,,,,,,,,,,,39,#VALUE!,31,8,,,
Booth,Mary Ross,Mary Ross Booth,Teacher,Teacher,,,,Yes,9 Jul 1869,1869,Burwood,NSW,Q1061925,Australia,Empire,Ireland/Australia,Ir/Oth,Anglican,,1956,NSW,,Australasia,1894,Melbourne & Ed,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,,,Australia,Australia,,,,,,,,,,,,,30,87,25,5,1894 Melbourne 1895 UK,,
Brodie,Margaret Grant Campbell,Margaret Grant Campbell Brodie,"E India, S America and W Indies Merchant",Merchant,MacNicol,Missionary,Minister,Yes,,1872,London,London,Q84,England,England,Scotland,Scot/Scot,Presbyterian,,1945,Edinburgh,,Scotland,1893,ESMW,Edinburgh,Scotland,1898,Edinburgh,Triple,,,,,Nagpur,,Poona,India,,,,,,,UFCofSM,Worked Nagpur & Poona,,,,,26,73,21,5,,,
Brook,Elizabeth Hamilton,Elizabeth Hamilton Brook,Goldsmith & Jeweller,Retail,,,,Yes,,1880,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1947,Edinburgh,,Scotland,1899,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Edinburgh,,Edinburgh,Edinburgh,,,,,,,,,,Mladanovatz 1-Mar-15 1-Nov-15,SWHFS,17349,26,67,19,7,,109.4,
Brown,Caroline Golfina Maud,Caroline Golfina Maud Brown,Civil Engineer,Engineer,Carwithen,Indian Army,Armed forces,Yes,,1875,Greenwich,SE England,,England,England,Scotland/England,Scot/Engl,Anglican,,1967,Hampshire,,England,1896,EMCW,Edinburgh,Scotland,1901,Edinburgh,Edinburgh,,,,Burntisland,Avonbridge,,,,,,,,,,,"Worked, Punjab",,,,,26,92,21,5,,,
Brown,Edith Cochrane,Edith Cochrane Brown,Merchant,Retail,Pitts,Surgeon,Medical,Yes,,1877,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,Anglican,,1953,NZ,,Australasia,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,CDTC,,,NZ,NZ,,NZ,NZ,,,,,,,,,,,,,26,76,21,5,,,
Brown,Mary,Mary Brown,Manager Woollen Spinning Mill,Commerce,Purdie,Doctor,Medical,Yes,12 Apr 1882,1882,Melbourne,Australia,Q3141,Australia,Empire,Scotland/Australia,Scot/Oth,Anglican,,1960,Yorkshire,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Lanark,,Selkirk,Scotland,Selkirk,NS,NS,,,,,,,,,,24,78,18,6,,111.6,
Buyers,Sarah Ellice,Sarah Ellice Buyers,Mechanical Engineer,Engineer,Eve,Doctor,Medical,Yes,,1885,Shanghai,China,,China,Other,Anglo-Indian,SA/SA,,,1966,Berkshire,,England,1903,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,Parents born,,,,,24,81,18,6,All grandparents born in Scotland,108.3,
Cadell,Grace Ross,Grace Ross Cadell,Landowner,Landowner & Gentleman,,,,Yes,25 Oct 1855,1855,Carriden,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1918,Edinburgh,,Scotland,1884,"ESMW, LSMW & EMCW",Edinburgh,Scotland,1891,Edinburgh,Triple,,,,,Leith,,,,Edinburgh,Surgeon/Obstetrician,"EHWC, Hospice",,,,,,,,,,36,63,29,7,,,
Calderwood,Mary Lucinda,Mary Lucinda Calderwood,Doctor,Medical,Gordon,Industrialist & JP,Manufacturer,Yes,,1879,Cumberland,NW England,,England,England,Scotland/England,Scot/Engl,,,1911,Inverness,,Scotland,1897,EMCW,Edinburgh,Scotland,1903,Edinburgh,Triple,,,,,Cumberland,,,,,,,,,,,,,,,,24,32,18,6,,,
Cameron,Isabella Douglas,Isabella Douglas Cameron,Schoolmaster,Official,,,,Yes,,1875,Perthshire,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1945,Edinburgh,,Scotland,1893,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,,Edinburgh,,,,Edinburgh,,"MO & Teacher, Teacher TC",,,,,,,,,,23,70,18,5,,,
Cardozo,Elizabeth Mary,Elizabeth Mary Cardozo,Judge,"Legal, accounts,para-legal",,,,Yes,16 May 1873,1873,Midnapore,India,,India,India & Ceylon,Anglo-Indian,SA/SA,Catholic,,1944,Surrey,,England,1893,Calcutta & EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,,Tirhoot,,,,,,,,,,Dufferin,"Born & Worked, Bengal",,,,,29,71,20,9,EMCW from 1901,,
Carr,Mary Brice,Mary Brice Carr,Landowner,Landowner & Gentleman,,,,Yes,4 Sep 1867,1867,Northumberland,North of England,,England,England,England,Eng/Eng,Anglican,,1936,Lancashire,,England,1895,EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,,Durham,,,,,,,,,,,,,,,,37,69,28,9,,,
Cathels,Jean Gardner,Jean Gardner Cathels,Presbyterian Minister,Minister,Johnstone,Doctor,Medical,Yes,,1885,Roxburghshire,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1948,Lanarkshire,,Scotland,1903,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,,,,23,63,18,5,,110.5,
Cathels,Mildred Margaret Lindsay,Mildred Margaret Lindsay Cathels,Presbyterian Minister,Minister,,,,Yes,,1882,Roxburghshire,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1976,Edinburgh,,Scotland,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,,,,,Helensburgh,,SMO,,,,,,,,,,22,94,17,5,,73.1,
Chesney,Lilian Mary,Lilian Mary Chesney,Military Engineer & MP,Engineer,,,,Yes,,1869,Middlesex,London,,England,England,England/Anglo-Indian,Eng/SA,Anglican,,1935,Spain,,Europe,1895,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,London,,,,,,,,,,No,Sister born in India,,London Unit 30-Aug-16 1-Sep-17 and 20-Feb-19 1-Mar-19,SWHFS,,30,66,26,4,,,
Chose,Anna,Anna Chose,Grain merchant,Retail,Chose,Metallurgial engineer,Engineer,Yes,,1887,Liebau,Europe,,Russia,Other,Russian,Oth/Oth,Jewish,,1966,London,,England,1906,ESMW2,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,79,19,5,,,
Christie,Elizabeth Blackburn,Elizabeth Blackburn Christie,Chemist & Dentist,Paramedical,Ferguson,Missionary,Minister,Yes,,1868,Glasgow,West of Scotland,Q4093,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1901,Taiwan,,Asia,1887,ESMW,Edinburgh,Scotland,1891,Edinburgh,Triple,,,Formosa,Dead,Dead,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,EP Mission China,,"Worked, Taiwan",,,,23,33,19,4,,,
Clark,Katharine Jane Stark,Katharine Jane Stark Clark,Free Church Minister,Minister,,,,Yes,,1866,Kirkcudbright,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,presbyterian,,1958,Edinburgh,,Scotland,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,CDTC,,,Edinburgh,Edinburgh,,,,Edinburgh,,SMO,,,,,,,RAMC 1917-19,RAMC,21551,37,92,32,5,,,
Clark,Lizzie Mackay Smith,Lizzie Mackay Smith Clark,Solicitor,"Legal, accounts,para-legal",,,,Yes,,1879,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,18407,1950,Buckinghamshire,,England,1896,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,Durham,Ophthalmology,"AMO, Union Infirmary",Harley Street,Ophthalmology,Multiple,,,,,,,31,71,17,14,,,
Coghill,Agnes Irene Sinclair,Agnes Irene Sinclair Coghill,Doctor,Medical,Coghill,Merchant,Merchant,Yes,,1872,Thurso,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,,,1904,Liverpool,,England,1891,ESMW,Edinburgh,Scotland,1897,Edinburgh,Edinburgh,,,Liverpool,Dead,,,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,No,,,,,,25,32,19,6,,,
Coghill,Violet Alice Penrose,Violet Alice Penrose Coghill,Baronet,Landowner & Gentleman,,,,Yes,8-Feb-1868,1868,Cork,Munster,,Ireland,Ireland,Ireland,Ir/Ir,CoI,,1951,Surrey,,England,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Birmingham,,Birmingham,England,Birmingham,Anatomy,University of Birmingham,London,Anatomy,Multiple,,,,,,,32,83,27,5,,,
Cohen,Marjorie Duake,Marjorie Duake Cohen,Rabbi,Minister,Harcourt,,,Yes,24 Jan 1875,1875,Calcutta,India,Q1348,India,India & Ceylon,Syrian-Indian,SA/SA,Jewish,,1929,London,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,Australia,Australia,,,,,,,,Born,,,,,31,54,25,6,,,
Colby,Elizabeth Lucy,Elizabeth Lucy Colby,Chemical Engineer,Engineer,McLaren,Doctor,Medical,Yes,27 May 1874,1874,Surrey,SE England,,England,England,Ireland/England,Ir/Engl,Anglican,,1960,Salisbury,,England,1896,LMSW & EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,Edinburgh,,Travelling,NS,Wolverhampton,NS,NS,Wolverhampton,Infant,NS,,,,,,,29,86,22,7,,,
Collett,Edith Grace,Edith Grace Collett,"Judge, ICS","Legal, accounts,para-legal",,,,Yes,18 Jul 1869,1869,Madras,India,,India,India & Ceylon,England,Eng/Eng,Anglican,,1927,Italy,,Europe,1888,ESMW,Edinburgh,Scotland,1892,Edinburgh,Triple,,,,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,,,,,,,,Born,,,,,23,58,19,4,,,
Cook,Gladys Hope,Gladys Hope Cook,Accountant,"Legal, accounts,para-legal",Lancaster,,,Yes,,1884,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,26357,1972,Edinburgh,,Scotland,1903,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,Birmingham,NS,MO Cadbury works,Leicester,NS,"ASMO, Leicester City",,,,,,,26,88,19,7,,105,
Cook,Lilian,Lilian Cook,Timber Merchant,Retail,Warnshuis,Minister,Minister,Yes,3 May 1887,1887,Inverness,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1985,USA,,America,1906,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,Inverness,NS,NS,New York,NS,NS,Yes,"Worked, Vellore",,,,,24,98,19,5,,100.16,
Copeland,Paula Theodora,Paula Theodora Copeland,Astronomer,Education,,,,Yes,2 May 1876,1877,Dublin,Leinster,,Ireland,Ireland,England/Germany,Eng/Oth,Anglican,,1918,Edinburgh,,Scotland,1896,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,,,Lahore,India,Lahore,NS,Dufferin Hospital,Dead,Dead,Dead,Dufferin,"Worked, Punjab",,,,,25,41,19,6,,,
Cormack,Anne Kelly,Anne Kelly Cormack,Bank Agent,,,,,Yes,22 Jun 1891,1891,Campbelltown,SW Scotland,,Scotland,Scotland,Scottish,Sco/Sco,,13-Mar-71,1971,Crieff,,Central Scotland,,Glasgow/Edinburgh,Edinburgh,Scotland,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cousins,Agnes Lillie,Agnes Lillie Cousins,Independent Minister,Minister,Stewart,Missionary,Minister,Yes,11 Oct 1869,1869,Madagascar,Africa,,Madagascar,Other,England,Eng/Eng,Congregational,,1940,London,,England,1891,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,,Hankow,China,,,,China,NS,"MO, Girls' School",,,,EMMS/LMS,,LMS,,,,26,71,22,4,,,
Cowan,Agnes Marshall,Agnes Marshall Cowan,Iron Merchant,Retail,,,,Yes,,1880,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1940,Cambridge,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Edinburgh,,China,China,,,,,,,UFC,,Worked,,,14885,26,60,20,6,Grandfather Free Church Minister in West Indies,,
Coxon,Beatrice,Beatrice Coxon,Farmer,Farmer,Rogers,CoE Minister,Minister,Yes,16 Jun 1885,1885,Northumberland,North of England,,England,England,England,Eng/Eng,Anglican,,1972,Somerset,,England,1904,ESMW2,Edinburgh,Scotland,1909,Edinburgh,Triple,,,,,,,London,London,,,,,,,,,,"Serbia, Malta",SWHFS & Malta,,24,87,19,5,Husband trained as a doctor after marriage,,
Craig,Effie Marion Douglas,Effie Marion Douglas Craig,Chemist & Aerated water,Paramedical,,,,Yes,,1877,Hawick,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1964,London,,England,1905,EMCW,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,Malta and Salonika 17-9-16 to 28-2-19,Malta,,35,87,28,7,,,
Craig,Jane Alice,Jane Alice Craig,Independent Minister,Minister,Latchmore,Bank manager,officer,Yes,10 Jan 1876,1876,Glasgow,West of Scotland,Q4093,Scotland,Scotland,Scotland/England,Scot/Engl,Congregational,,1953,Leeds,,England,1893,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,,Worksop,,Halifax,England,Halifax,NS,NS,Halifax,MCW,MO,,,,,,,22,77,17,5,,,
